titulo,edad_45_Carlos,edad_45_Adrian,factores_ee_Carlos,factores_ee_Adrian,reporte_rr_Carlos,reporte_rr_Adrian,reporte_or_Carlos,reporte_or_Adrian,envejecimiento_es_Carlos,envejecimiento_es_Adrian,cohorte_Carlos,cohorte_Adrian,estudio_ee_Carlos,estudio_ee_Adrian,accion_Carlos,accion_Adrian,comentario_Carlos,comentario_Adrian,accion_2_Carlos,accion_2_Adrian,agree
Adaptation to stroke using a model of successful aging.,1,1,2,1,2,2,2,2,1,1,3,1,2,2,NA,1,Usan un modelo de EE (SOC) para predecir recuperación,NA,0,1,disagree
"Adult height, dietary patterns, and healthy aging.",1,1,1,2,2,2,1,1,1,2,1,1,2,1,NA,2,NA,NA,1,0,disagree
Age-Related Alterations in Endocrine Markers Do Not Match Changes in Psychosocial Measures: Findings From the Men's Health 40+ Longitudinal Study.,1,1,1,2,3,2,3,2,1,2,1,1,2,1,NA,2,NA,NA,1,0,disagree
Approaches in methodology for population-based longitudinal study on neuroprotective model for healthy longevity (TUA) among Malaysian Older Adults.,1,1,1,2,2,3,2,3,1,1,3,1,1,2,3,1,Helahty Longevity,"No especifica como tal una definición de envejecimiento exitoso, sólo si cumplen los cuestionarios y de acuerdo al puntaje.",1,0,disagree
Association Between Hospital Readmission and Acute and Sustained Delays in Functional Recovery During 18 Months After Elective Surgery: The Successful Aging  after Elective Surgery Study.,1,1,2,1,2,1,2,2,2,1,2,1,1,2,NA,1,NA,NA,0,1,disagree
Association between nighttime sleep and successful aging among older Chinese people.,1,1,1,1,2,2,1,1,1,1,4,1,2,1,NA,1,NA,Usan modelo de Rowe y Kahn,0,1,disagree
Association between northern Manhattan study global vascular risk score and successful aging.,1,1,1,2,2,2,1,1,1,1,2,1,2,1,NA,2,NA,Utiliza parámetros clínicos para definir envejecimiento exitoso,1,0,disagree
Association between vision and hearing impairment and successful aging over five years.,1,1,1,2,2,2,1,1,1,1,3,1,2,1,NA,1,NA,"no utiliza un modelo como tal, pero incluye estado cognitivo. depresión y factores físicos+",1,0,disagree
Association of diet quality and physical activity with healthy ageing in the French NutriNet-Santé cohort.,1,2,1,1,1,1,2,2,1,1,3,1,2,1,NA,1,NA,Modelo rowe y Kanh,1,0,disagree
Associations of overweight and metabolic health with successful aging: 32-year follow-up of the Helsinki Businessmen Study.,1,1,1,2,2,2,1,2,1,1,3,1,2,1,NA,1,NA,"Estudia la relación que tiene el estilo de vida con la mortalidad y no menciona necesariamente separados como los modelos de rowe y kan, pero creo que podría ayudar.",1,0,disagree
Associations of parental ages at childbirth with healthy aging among women.,1,1,1,2,2,2,1,1,1,2,2,1,2,2,NA,2,Lo llaman healthy survival,NA,1,0,disagree
Associations of Weight Gain From Early to Middle Adulthood With Major Health Outcomes Later in Life.,1,1,1,2,2,2,1,1,1,2,2,1,2,1,NA,2,NA,Sólo considera elementos biológicos,1,0,disagree
British Columbia CARMA-CHIWOS Collaboration (BCC3): protocol for a community-collaborative cohort study examining healthy ageing with and for women living with HIV.,1,2,1,2,3,2,3,2,1,2,2,1,1,1,3,2,Protocolo de un estudio,NA,1,0,disagree
Capturing the Diversity of Successful Aging: An Operational Definition Based on 16-Year Trajectories of Functioning.,1,1,2,1,2,2,2,2,1,1,1,1,1,1,NA,1,NA,NA,0,1,disagree
Chronic inflammation as a determinant of future aging phenotypes.,1,1,1,2,2,2,1,1,1,2,3,1,2,1,NA,2,NA,NA,1,0,disagree
Clinical and laboratory characteristics of active and healthy aging (AHA) in octogenarian men.,1,1,1,1,3,2,3,3,1,1,4,1,2,2,NA,1,NA,NA,0,1,disagree
Cognitive function trajectories and their determinants in older people: 8 years of follow-up in the English Longitudinal Study of Ageing.,1,1,2,1,2,3,2,2,2,1,1,1,1,1,NA,1,NA,NA,0,1,disagree
Cohort Profile:  The Melbourne Longitudinal Studies on Healthy Ageing Program,1,1,2,1,2,2,2,2,2,1,4,1,1,1,3,1,Perfil de una cohorte. Tiene link a publicaciones de la cohorte.,"PERO BUSCAR RESULTADOS DEL ESTUDIO MELSHA, ya que esta es como una descripción de lo que incluye el programa más que un estudio",0,1,disagree
Contribution of education to health and life satisfaction in older adults mediated by negative affect.,1,1,1,2,2,3,2,3,1,2,3,1,2,1,3,1,"Se usan dos indicadores de EE, pero no mecionan que sea un modelo como tal.,",SOLO PUSE DOS COMO NEGATIVO,1,0,disagree
Determinant factors for healthy aging among senior citizens in a large city: the Epidoso Project in São Paulo.,1,2,1,2,3,2,3,2,1,2,3,2,2,2,NA,2,NA,ES MÁS UNA BIOGRAFIA QUE UN ARTÍCULO,1,0,disagree
Development of a Dynamic Multi-Protein Signature of Postoperative Delirium.,1,1,2,1,2,2,2,2,2,1,4,1,1,1,NA,2,NA,"ES PARTE DE UN ESTUDIO DE ENVEJECIMIENTO EXITOSO SAGES, sin embargo esta parte es un estudio proteico, convendría buscar el estudio y checar la parte de la definición de envejecimiento exitoso",0,1,disagree
Diabetes and ageing in the Melbourne Collaborative Cohort Study (MCCS).,1,1,1,2,2,2,1,1,1,1,1,1,2,2,NA,1,NA,NA,1,0,disagree
"Does Telomere Length Indicate Biological, Physical, and Cognitive Health Among Older Adults? Evidence from the Health and Retirement Study.",1,1,2,1,2,3,2,3,2,1,5,2,2,1,NA,2,NA,NA,0,1,disagree
Educational differences in trajectories and determinants of healthy ageing in midlife and older Americans.,1,1,1,2,2,2,1,2,1,1,1,2,2,1,NA,1,NA,NA,1,0,disagree
Favourable changes in economic well-being and self-rated health among the elderly.,1,1,2,1,2,2,2,1,2,1,1,1,1,1,NA,1,NA,NA,0,1,disagree
Healthy Aging 5 Years After a Period of Daily Supplementation With Antioxidant Nutrients: A Post Hoc Analysis of the French Randomized Trial SU.VI.MAX.,1,1,1,1,1,1,2,2,1,1,4,1,2,2,NA,1,NA,NA,0,1,disagree
Heart rate variability as a marker of healthy ageing.,1,1,2,1,2,2,2,2,2,1,4,2,2,2,NA,2,NA,NA,0,1,disagree
Is it possible to overcome the 'long arm' of childhood socioeconomic disadvantage through upward socioeconomic mobility?,1,1,1,2,2,2,1,1,1,2,1,2,2,2,3,2,NA,NA,1,0,disagree
"Life and living in advanced age: a cohort study in New Zealand--e Puāwaitanga o Nga Tapuwae Kia Ora Tonu, LiLACS NZ: study protocol.",1,1,1,1,2,3,2,3,1,2,2,1,2,2,NA,1,NA,NA,1,0,disagree
Long-lasting active lifestyle and successful cognitive aging in a healthy elderly population: The PROOF cohort.,1,1,1,2,2,2,2,1,1,1,3,1,1,2,3,1,NA,Estudioa envejecimiento exitoso cognitivo,1,0,disagree
Long-term assessment of inflammation and healthy aging in late life: the Cardiovascular Health Study All Stars.,1,1,1,2,3,2,3,1,1,2,3,1,2,2,3,2,NA,Usa HR,1,0,disagree
"Mental health in the aged: prevalence, covariates and related neuroendocrine, cardiovascular and inflammatory factors of successful aging.",1,1,1,1,3,2,3,2,1,2,1,1,1,1,NA,1,NA,NA,1,0,disagree
"Metabolite Profiles of Healthy Aging Index Are Associated With Cardiovascular Disease in African Americans: The Health, Aging, and Body Composition Study.",1,1,2,1,2,2,2,2,1,1,1,1,1,1,3,1,Healthy aging index,Usa HR Utiliza este índice Newman healthy aging index,0,1,disagree
"Mortality in Relation to Changes in a Healthy Aging Index: The Health, Aging, and Body Composition Study.",1,1,2,1,2,2,2,2,1,1,1,1,2,1,NA,1,Healthy aging index,"Deriva del Health, Aging, and Body Composition study ",0,1,disagree
Multiple trajectories of successful aging of older and younger cohorts.,2,1,2,1,2,3,2,3,1,1,1,1,2,1,3,1,NA,NA,0,1,disagree
Optimism and Healthy Aging in Women.,1,1,1,1,3,2,3,2,1,2,1,1,2,1,NA,2,NA,NA,1,0,disagree
Outdoor adventure and successful ageing.,1,1,1,1,3,2,3,2,1,2,2,2,2,2,NA,2,NA,Estudio cualitativo,1,0,disagree
Parental longevity predicts healthy ageing among women.,1,1,1,2,2,2,1,1,1,1,1,1,2,2,NA,2,NA,define SA sólo con ausencia de patologias,1,0,disagree
Physical and mental health of Chinese grandparents caring for grandchildren and great-grandparents.,2,1,2,1,2,2,2,2,2,1,4,2,2,1,NA,2,NA,deriva del China Health and Retirement Longitudinal Study (CHARLS),0,1,disagree
Predicted factors for older Taiwanese to be healthy octogenarians: Results of an 18-year national cohort study.,1,1,1,1,3,2,3,1,1,2,2,1,1,2,NA,1,NA,NA,1,0,disagree
Quantitative T(1) and T(2) MRI signal characteristics in the human brain: different patterns of MR contrasts in normal ageing.,1,1,2,1,2,2,2,1,2,1,4,1,2,1,NA,1,NA,NA,0,1,disagree
"Social determinants, health status and 10-year mortality among 10,906 older adults from the English longitudinal study of aging: the ATHLOS project.",1,1,1,1,3,2,3,2,1,2,3,1,1,1,3,2,NA,deriva de  English Longitudinal Study of Aging (ELSA),1,0,disagree
Social participation and the combination of future needs for long-term care and mortality among older Japanese people: a prospective cohort study from the Aichi  Gerontological Evaluation Study (AGES).,1,1,2,1,2,2,2,1,2,1,2,1,2,1,NA,1,NA,NA,0,1,disagree
"Social Participation during the Transition to Retirement: Findings on Work, Health and Physical Activity beyond Retirement from an Interview Study over the Course of 3 Years.",1,1,2,1,2,2,2,3,2,1,3,1,2,2,NA,1,NA,NA,0,1,disagree
"Stressful life events, family support and successful ageing in the Biafran War generation.",1,1,1,1,2,2,2,3,1,1,5,1,2,2,3,1,Inventario de EE,NA,0,1,disagree
Subjective wellbeing as a determinant of glycated hemoglobin in older adults: longitudinal findings from the English Longitudinal Study of Ageing.,1,1,2,1,2,2,2,1,2,1,3,1,1,2,NA,1,NA,NA,0,1,disagree
"Successful Aging, a New Challenge for Developing Countries: The Coyoacán Cohort.",1,1,1,1,3,2,3,1,1,1,4,1,2,2,NA,1,NA,NA,0,1,disagree
Taking up physical activity in later life and healthy ageing: the English longitudinal study of ageing.,1,1,1,2,2,2,1,1,1,1,3,1,1,2,NA,1,NA,deriva del English longitudinal study of ageing,1,0,disagree
The change and correlates of healthy ageing among Chinese older adults: findings from the China health and retirement longitudinal study.,1,1,1,1,3,2,3,1,1,2,1,1,2,2,NA,1,Indice de EE,NA,1,0,disagree
The Effects of Life Events and Socioeconomic Position in Childhood and Adulthood on Successful Aging.,1,1,1,1,3,2,3,2,1,2,1,2,2,2,NA,1,NA,"Considera varias hipótesis, considerar inclusión",1,0,disagree
The Great Escape. Centenarians' exceptional health.,1,1,2,1,2,2,2,2,2,1,4,1,2,1,NA,2,NA,"No describe los factores, sólo la relación de buenos hábitos con los centenarios",0,1,disagree
The impact of physical activity on healthy ageing trajectories: evidence from eight cohort studies.,1,1,1,1,2,2,1,1,1,2,1,1,1,1,NA,2,NA,Es un estudio conjuntando bases de datos de diferentes países,1,0,disagree
The impact of socioeconomic status on the association between biomedical and psychosocial well-being and all-cause mortality in older Spanish adults.,1,1,1,1,3,2,3,2,1,2,3,1,2,2,3,1,NA,NA,1,0,disagree
The NonaSantfeliu study. Baseline assessment and ten years of follow-up.,1,1,1,2,3,2,3,2,1,2,1,2,2,2,3,2,NA,Revisión,1,0,disagree
The onset of widespread musculoskeletal pain is associated with a decrease in healthy ageing in older people: a population-based prospective study.,1,1,1,1,3,2,3,2,1,2,1,1,2,2,NA,1,Indice de EE,NA,1,0,disagree
Tracing the origins of successful aging: the role of childhood conditions and social inequality in explaining later life health.,1,1,1,1,3,2,3,2,1,2,1,1,1,2,NA,1,NA,Utiliza criterios de Rowe y Kahn,1,0,disagree
Trajectories of ageing well among older Australians: a 16-year longitudinal study.,1,1,2,1,2,2,2,2,1,1,1,1,2,2,3,1,NA,Mencionan ageing well no SA,0,1,disagree
"Trajectories of the healthy ageing phenotype among middle-aged and older Britons, 2004-2013.",1,1,1,2,3,2,3,2,1,2,1,1,1,2,NA,2,NA,"Estudia el fenotipo, verificar si tiene base teórica de SA y los cmonentes",1,0,disagree
Translating research to promote healthy aging: the complementary role of longitudinal studies and clinical trials.,2,1,2,1,2,2,2,2,2,1,4,2,2,2,NA,1,Review,ES UNA REVISIÓN,0,1,disagree
